,CanESM5,MPIESM,UKESM,BCC,JAMSTEC,IPSL,GFDL,ACCESS-ESM1.5,NorESM2LM,CESM2
1850,284.32,284.3,287.046,285.73,284.62,284.32,285.04,286.89,284.67,284.7
1851,287.16,287.14,287.046,288.59,287.47,287.16,286.17,289.76,287.17,287.547
1852,290.03,290.01,291.3665,291.47,290.34,290.03,288.61,292.66,290.04,290.4225
1853,292.93,292.91,291.3665,294.39,293.25,292.94,291.11,295.58,292.94,293.3267
1854,295.86,295.84,297.223,297.33,296.18,295.86,293.95,298.54,295.87,296.26
1855,298.82,298.8,297.223,300.31,299.14,298.82,296.54,301.52,298.83,299.2226
1856,301.81,301.79,303.1975,303.31,302.13,301.81,299.2,304.54,301.82,302.2148
1857,304.83,304.81,303.1975,306.34,305.15,304.83,302.07,307.59,304.83,305.2369
1858,307.88,307.86,309.2915,309.4,308.21,307.88,304.92,310.66,307.88,308.2893
1859,310.95,310.93,309.2915,312.5,311.29,310.96,307.43,313.77,310.96,311.3722
1860,314.06,314.04,315.5085,315.62,314.4,314.07,310.93,316.91,314.07,314.4859
1861,317.2,317.18,315.5085,318.78,317.55,317.21,314.66,320.07,317.21,317.6308
1862,320.38,320.36,321.85,321.97,320.72,320.38,317.06,323.28,320.38,320.8071
1863,323.58,323.56,321.85,325.19,323.93,323.58,319.56,326.51,323.59,324.0152
1864,326.82,326.8,328.31899999999996,328.44,327.16,326.82,322.81,329.77,326.82,327.2553
1865,330.08,330.06,328.31899999999996,331.72,330.44,330.09,326.4,333.07,330.09,330.5279
1866,333.39,333.36,334.9185,335.04,333.74,333.39,330.58,336.4,333.39,333.8331
1867,336.72,336.7,334.9185,338.39,337.08,336.72,332.91,339.77,336.73,337.1715
1868,340.09,340.06,341.65,341.78,340.45,340.09,335.72,343.16,340.09,340.5432
1869,343.49,343.47,341.65,345.19,343.86,343.49,338.71,346.59,343.49,343.9486
1870,346.92,346.9,348.517,348.64,347.3,346.92,341.8,350.06,346.93,347.3881
1871,350.39,350.37,348.517,352.13,350.77,350.39,345.84,353.56,350.4,350.862
1872,353.9,353.87,355.52250000000004,355.65,354.27,353.9,349.25,357.1,353.9,354.3706
1873,357.43,357.41,355.52250000000004,359.21,357.82,357.44,352.75,360.67,357.44,357.9143
1874,361.01,360.99,362.6685,362.8,361.4,361.01,356.14,364.27,361.02,361.4935
1875,364.62,364.6,362.6685,366.43,365.01,364.62,359.15,367.92,364.63,365.1084
1876,368.26,368.24,369.95849999999996,370.09,368.66,368.27,362.56,371.6,368.27,368.7595
1877,371.95,371.92,369.95849999999996,373.79,372.35,371.95,366.62,375.31,371.96,372.4471
1878,375.67,375.64,377.3945,377.53,376.07,375.67,370.39,379.07,375.68,376.1715
1879,379.42,379.4,377.3945,381.31,379.83,379.43,373.91,382.86,379.43,379.9333
1880,383.22,383.19,384.98,385.12,383.63,383.22,377.2,386.69,383.23,383.7326
1881,387.05,387.03,384.98,388.97,387.47,387.05,382.0,390.55,387.06,387.5699
1882,390.92,390.9,392.718,392.86,391.34,390.92,385.01,394.46,390.93,391.4456
1883,394.83,394.8,392.718,396.79,395.25,394.83,388.27,398.4,394.84,395.3601
1884,398.78,398.75,400.612,400.76,399.2,398.78,393.58,402.39,398.79,399.3137
1885,402.77,402.74,400.612,404.77,403.2,402.77,397.96,406.41,402.77,403.3068
1886,406.79,406.77,408.664,408.81,407.23,406.8,401.33,410.47,406.8,407.3399
1887,410.86,410.84,408.664,412.9,411.3,410.86,404.77,414.58,410.87,411.4133
1888,414.97,414.94,416.878,417.03,415.41,414.97,408.85,418.72,414.98,415.5274
1889,419.12,419.09,416.878,421.2,419.57,419.12,413.14,422.91,419.13,419.6827
1890,423.31,423.28,425.2575,425.41,423.76,423.31,417.32,427.14,423.32,423.8795
1891,427.54,427.52,425.2575,429.67,428.0,427.55,421.56,431.41,427.55,428.1183
1892,431.82,431.79,433.805,433.96,432.28,431.82,425.57,435.73,431.83,432.3995
1893,436.14,436.11,433.805,438.3,436.61,436.14,430.03,440.08,436.15,436.7235
1894,440.5,440.47,442.5245,442.69,440.97,440.5,434.49,444.48,440.51,441.0907
1895,444.9,444.88,442.5245,447.11,445.38,444.91,437.54,448.93,444.91,445.5016
1896,449.35,449.32,451.419,451.58,449.83,449.36,441.88,453.42,449.36,449.9566
1897,453.85,453.82,451.419,456.1,454.33,453.85,447.71,457.95,453.86,454.4562
1898,458.38,458.36,460.493,460.66,458.88,458.39,453.21,462.53,458.4,459.0008
1899,462.97,462.94,460.493,465.27,463.47,462.97,457.31,467.16,462.98,463.5908
1900,467.6,467.57,469.749,469.92,468.1,467.6,459.97,471.83,467.61,468.2267
1901,472.27,472.24,469.749,474.62,472.78,472.28,464.62,476.55,472.28,472.9089
1902,477.0,476.97,479.19100000000003,479.37,477.51,477.0,470.91,481.31,477.01,477.638
1903,481.77,481.74,479.19100000000003,484.16,482.28,481.77,474.14,486.13,481.78,482.4144
1904,486.58,486.55,488.822,489.0,487.1,486.59,478.47,490.99,486.6,487.2386
1905,491.45,491.42,488.822,493.89,491.98,491.45,484.64,495.9,491.46,492.1109
1906,496.37,496.33,498.648,498.83,496.9,496.37,489.79,500.86,496.38,497.0321
1907,501.33,501.3,498.648,503.82,501.87,501.33,494.39,505.86,501.34,502.0024
1908,506.34,506.31,508.6705,508.86,506.88,506.35,499.46,510.92,506.35,507.0224
1909,511.41,511.37,508.6705,513.95,511.95,511.41,505.79,516.03,511.42,512.0926
1910,516.52,516.49,518.8945,519.08,517.07,516.52,510.66,521.19,516.53,517.2136
1911,521.68,521.65,518.8945,524.28,522.24,521.69,513.68,526.4,521.7,522.3857
1912,526.9,526.87,529.3245,529.52,527.46,526.91,518.68,531.67,526.91,527.6095
1913,532.17,532.14,529.3245,534.81,532.74,532.17,524.38,536.99,532.18,532.8856
1914,537.49,537.46,539.9639999999999,540.16,538.07,537.5,529.82,542.36,537.5,538.2145
1915,542.87,542.83,539.9639999999999,545.56,543.45,542.87,535.34,547.78,542.88,543.5966
1916,548.3,548.26,550.8175,551.02,548.88,548.3,541.62,553.26,548.31,549.0326
1917,553.78,553.74,550.8175,556.53,554.37,553.78,547.47,558.79,553.79,554.5229
1918,559.32,559.28,561.8885,562.09,559.92,559.32,551.78,564.38,559.33,560.0682
1919,564.91,564.87,561.8885,567.72,565.51,564.91,556.72,570.02,564.92,565.6688
1920,570.56,570.52,573.1825,573.39,571.17,570.56,562.96,575.72,570.57,571.3255
1921,576.26,576.23,573.1825,579.13,576.88,576.27,569.15,581.48,576.28,577.0388
1922,582.03,581.99,584.704,584.92,582.65,582.03,573.39,587.29,582.04,582.8092
1923,587.85,587.81,584.704,590.77,588.48,587.85,578.81,593.17,587.86,588.6373
1924,593.73,593.69,596.4565,596.67,594.36,593.73,585.87,599.1,593.74,594.5236
1925,599.66,599.63,596.4565,602.64,600.31,599.67,591.49,605.09,599.68,600.4689
1926,605.66,605.62,608.4449999999999,608.67,606.31,605.66,597.9,611.14,605.67,606.4736
1927,611.72,611.68,608.4449999999999,614.75,612.37,611.72,605.48,617.25,611.73,612.5383
1928,617.83,617.79,620.675,620.9,618.49,617.84,609.42,623.42,617.85,618.6637
1929,624.01,623.97,620.675,627.11,624.68,624.02,614.98,629.66,624.03,624.8503
1930,630.25,630.21,633.15,633.38,630.93,630.26,622.65,635.95,630.27,631.0988
1931,636.55,636.51,633.15,639.72,637.24,636.56,628.53,642.31,636.57,637.4098
1932,642.92,642.88,645.8765000000001,646.11,643.6,642.92,635.42,648.74,642.93,643.7839
1933,649.35,649.31,645.8765000000001,652.57,650.04,649.35,642.58,655.22,649.36,650.2217
1934,655.84,655.8,658.8589999999999,659.1,656.55,655.85,647.83,661.78,655.86,656.724
1935,662.4,662.36,658.8589999999999,665.69,663.11,662.41,654.11,668.39,662.42,663.2912
1936,669.03,668.98,672.1015,672.35,669.74,669.03,661.52,675.08,669.04,669.9241
1937,675.72,675.67,672.1015,679.07,676.44,675.72,666.64,681.83,675.73,676.6234
1938,682.47,682.43,685.6110000000001,685.86,683.21,682.48,673.5,688.65,682.49,683.3896
1939,689.3,689.25,685.6110000000001,692.72,690.03,689.3,682.56,695.53,689.31,690.2235
1940,696.19,696.15,699.3915,699.65,696.93,696.2,690.71,702.49,696.21,697.1257
1941,703.15,703.11,699.3915,706.64,703.91,703.16,697.4,709.51,703.17,704.097
1942,710.18,710.14,713.4495,713.71,710.95,710.19,704.56,716.61,710.2,711.1379
1943,717.29,717.24,713.4495,720.85,718.05,717.29,711.05,723.78,717.3,718.2493
1944,724.46,724.41,727.79,728.06,725.23,724.46,715.75,731.01,724.47,725.4318
1945,731.7,731.66,727.79,735.34,732.49,731.71,722.42,738.32,731.72,732.6861
1946,739.02,738.97,742.4185,742.69,739.81,739.03,731.16,745.71,739.04,740.013
1947,746.41,746.36,742.4185,750.12,747.21,746.42,737.25,753.16,746.43,747.4131
1948,753.87,753.83,757.341,757.62,754.68,753.88,745.08,760.7,753.89,754.8873
1949,761.41,761.36,757.341,765.19,762.23,761.42,753.7,768.3,761.43,762.4361
1950,769.03,768.98,772.5635,772.85,769.85,769.03,760.08,775.99,769.04,770.0605
1951,776.72,776.67,772.5635,780.58,777.55,776.72,767.76,783.75,776.73,777.7611
1952,784.48,784.44,788.0920000000001,788.38,785.32,784.49,776.73,791.58,784.5,785.5387
1953,792.33,792.28,788.0920000000001,796.26,793.18,792.34,785.42,799.5,792.35,793.3941
1954,800.25,800.2,803.9325,804.23,801.11,800.26,791.05,807.49,800.27,801.328
1955,808.26,808.2,803.9325,812.27,809.12,808.26,798.12,815.57,808.27,809.3413
1956,816.34,816.29,820.092,820.39,817.21,816.34,807.65,823.72,816.36,817.4347
1957,824.5,824.45,820.092,828.6,825.39,824.51,818.21,831.96,824.52,825.6091
1958,832.75,832.69,836.576,836.88,833.64,832.75,824.5,840.28,832.76,833.8652
1959,841.07,841.02,836.576,845.25,841.98,841.08,832.15,848.68,841.09,842.2038
1960,849.48,849.43,853.391,853.7,850.39,849.49,840.91,857.17,849.5,850.6259
1961,857.98,857.93,853.391,862.24,858.9,857.99,849.82,865.74,858.0,859.1321
1962,866.56,866.5,870.544,870.86,867.49,866.57,857.49,874.4,866.58,867.7234
1963,875.22,875.17,870.544,879.57,876.16,875.23,865.24,883.14,875.24,876.4007
1964,883.98,883.92,888.042,888.37,884.92,883.98,873.67,891.98,884.0,885.1647
1965,892.82,892.76,888.042,897.25,893.77,892.82,883.96,900.89,892.84,894.0163
1966,901.74,901.69,905.8915,906.22,902.71,901.75,892.79,909.9,901.76,902.9565
1967,910.76,910.7,905.8915,915.29,911.74,910.77,901.88,919.0,910.78,911.9861
1968,919.87,919.81,924.0999999999999,924.44,920.85,919.88,909.56,928.19,919.89,921.1059
1969,929.07,929.01,924.0999999999999,933.68,930.07,929.08,917.41,937.47,929.09,930.317
1970,938.36,938.3,942.6745000000001,943.02,939.37,938.37,929.08,946.85,938.38,939.6201
1971,947.74,947.68,942.6745000000001,952.45,948.75,947.75,939.66,956.32,947.76,949.0164
1972,957.22,957.16,961.622,961.97,958.24,957.23,949.57,965.88,957.24,958.5065
1973,966.79,966.73,961.622,971.59,967.83,966.8,957.09,975.54,966.81,968.0916
1974,976.46,976.4,980.9505,981.31,977.51,976.47,965.16,985.3,976.48,977.7725
1975,986.22,986.16,980.9505,991.12,987.28,986.23,975.65,995.15,986.25,987.5502
1976,996.09,996.02,1000.6695,1001.03,997.15,996.09,986.45,1005.1,996.11,997.4257
1977,1006.0,1005.98,1000.6695,1011.04,1007.13,1006.1,997.3,1015.15,1006.07,1007.4
1978,1016.1,1016.04,1020.78,1021.16,1017.2,1016.1,1008.34,1025.3,1016.13,1017.474
1979,1026.3,1026.2,1020.78,1031.37,1027.37,1026.3,1017.29,1035.56,1026.29,1027.6487
1980,1036.5,1036.47,1041.3,1041.68,1037.63,1036.5,1026.34,1045.91,1036.56,1037.9252
1981,1046.9,1046.83,1041.3,1052.1,1048.02,1046.9,1035.74,1056.37,1046.92,1048.3045
1982,1057.4,1057.3,1062.225,1062.62,1058.5,1057.4,1046.51,1066.93,1057.39,1058.7875
1983,1067.9,1067.87,1062.225,1073.24,1069.08,1067.9,1059.25,1077.6,1067.96,1069.3754
1984,1078.6,1078.55,1083.58,1083.98,1079.77,1078.6,1068.76,1088.38,1078.64,1080.0691
1985,1089.4,1089.34,1083.58,1094.82,1090.58,1089.4,1079.76,1099.26,1089.43,1090.8698
1986,1100.3,1100.23,1105.36,1105.76,1101.48,1100.3,1090.53,1110.26,1100.32,1101.7785
1987,1111.3,1111.23,1105.36,1116.82,1112.49,1111.3,1101.29,1121.36,1111.33,1112.7963
1988,1122.4,1122.35,1127.58,1127.99,1123.61,1122.4,1111.04,1132.57,1122.44,1123.9243
1989,1133.6,1133.57,1127.58,1139.27,1134.86,1133.6,1124.1,1143.9,1133.67,1135.1635
1990,1145.0,,1150.24,1150.66,1146.21,1145.0,1137.16,,,1146.5151
1991,1156.4,,1150.24,1162.17,1157.67,1156.4,1146.11,,,1157.9803
1992,1168.0,,1173.3600000000001,1173.79,1169.23,1168.0,1158.06,,,1169.5601
1993,1179.7,,1173.3600000000001,1185.53,1180.94,1179.7,1170.36,,,1181.2557
1994,1191.5,,1196.9450000000002,1197.38,1192.75,1191.5,1181.3,,,1193.0683
1995,1203.4,,1196.9450000000002,1209.36,1204.67,1203.4,1192.82,,,1204.9989
1996,1215.4,,1221.005,1221.45,1216.71,1215.4,1205.88,,,1217.0489
1997,1227.6,,1221.005,1233.67,1228.88,1227.6,1217.39,,,1229.2194
1998,1239.8,,1245.545,1246.0,1241.18,1239.9,1228.75,,,1241.5116
1999,1252.2,,1245.545,1258.46,1253.59,1252.3,1241.47,,,1253.9267
2000,1264.8,,1270.58,,,,,,,
