,tcre,zec50,zec100
1230,1.9081410381952406,-0.1762012284336978,-0.30736947637556344
1715,1.2042982064244454,-0.14100916780234707,-0.17950638677745512
2658,2.19375662976011,0.5653411362941494,0.802064266037088
3898,2.135317381858558,0.7892658895100104,1.2027792817756366
5915,1.943801213626597,-0.1442631948836759,-0.18316539369809948
6306,1.9079607942282237,-0.07596904940682725,-0.055257853420400016
6661,1.867680596512694,0.16494878832533733,0.2949650144502711
7996,2.3073330952469684,-0.18786434215907688,-0.2833167179876228
8383,1.759935275640615,-0.024066305460935133,0.053266934054375215
9214,1.4372459435659812,-0.11830636665559902,-0.14069486304843926
9458,1.686733951143762,0.13754001530363613,0.20109469140292657
9680,1.3906804844487797,-0.12776804232854322,-0.14643420818402864
11811,1.7336507904327385,-0.24217316239981757,-0.33455491737145526
12179,1.7364407430758002,-0.04530254420591984,-0.039210797134409336
12349,2.0593452934328225,0.1366658022535896,0.2203061480185875
13729,2.024445631446338,0.018000211914678044,0.04214717774868815
14515,1.2748244787516383,-0.13450727154554887,-0.1715538318537666
14824,1.6653741045544648,0.28450203124081264,0.49774136052278606
15186,1.39600611888475,-0.12799972025331252,-0.13066954686675603
16767,1.50307415603933,-0.2048630243749785,-0.35062044111194024
17371,1.0944592023538056,-0.07452590868832076,-0.09593671679121551
17813,1.5839188553930015,-0.05015561154169301,-0.036698229733636234
19515,1.5934150912562501,-0.11828162130656805,-0.1295139526857767
23544,1.7214467679352758,-0.0036149002525813767,-0.025580088061550432
23590,1.6417451040359177,0.022142187671317703,-0.015367883595748921
25361,2.0952232306921603,0.019508900587581035,-0.08373362928509609
27136,1.2127593829631529,0.0365034814612446,0.047362183566174165
28108,1.7580562379790394,0.10513653469586193,0.03695629108809673
28578,1.3094669089420046,0.12969710773313636,0.2372042690489482
30306,1.22935282790529,0.13133634468239874,0.12094629985619476
37027,1.2696623907462206,-0.04373141342594855,-0.023955494221141516
41372,1.6147495907539466,0.20423187934459186,0.311303026126883
43444,1.1263168844855413,-0.0175488298298494,-0.021538742007712885
44501,1.3821985887554427,-0.062015202046359574,-0.07080034217957776
44778,1.778574586942358,-0.1777193858675381,-0.2896009372653867
45979,1.4213912321715636,-0.07831029523360522,-0.09669866362915203
46609,2.0022046668676174,-0.068274902727405,-0.08549861268198677
46634,1.2830929878504451,-0.11066481902116254,-0.1236804856116589
48679,1.7350833637372405,-0.2292774564038813,-0.3377356973298484
51558,1.3621341021719504,0.18575175452923132,0.2587349445938161
53424,1.9397599991572443,-0.13106949774250487,-0.17294189348567768
58185,1.4179432721915668,0.0006660747807227807,-0.09765699056709343
58814,1.6901711012041118,0.10909141950777101,0.15646790985347336
61215,1.5845162306918865,-0.05327341923239515,-0.030929505541930524
61316,1.8920679157683706,-0.13839594749760242,-0.1905313878460253
62962,1.7494854829421023,0.048272152475060004,-0.008547554898657328
66380,1.9620449143507417,-0.09670047888166788,-0.14854364523928543
67109,1.5046684775839425,0.1718390210301679,0.26629792626025917
73454,1.0853446462824325,-0.008111835402182521,-0.01449493593713247
74441,0.954327941888061,-0.03534923089472619,-0.053391594696044375
74805,1.6180603293039257,-0.03108899089865158,-0.032898949216737305
77060,1.3449430193453948,0.1502740438535597,0.23324591209258982
81590,1.3128704750683433,-0.1337075705943207,-0.1763191659210681
82942,1.4641175152598054,-0.10169934142554737,-0.11868947487828763
83449,2.11653094726768,0.4808662667830079,0.6406464832916829
84839,1.9862590178572688,-0.035161105350265176,-0.11683722416719955
89645,1.4265823559282342,-0.11906894219014874,-0.19563165652421
90101,1.3252095770854764,-0.17534387537044438,-0.23053059838080991
92941,2.2344575443277552,0.28857848400502606,0.27493298188369675
94283,2.047246559491894,-0.008290050389110792,-0.10776801303147909
95889,1.7566868900618668,0.3507573226096028,0.4328460576800057
96217,1.5032712591946817,-0.18981445771677397,-0.22659400556622167
98882,1.2052504446344292,-0.07491006726532934,-0.073869081180435
101087,1.8258051139695939,-0.25656920121304627,-0.3752297311489028
102196,1.2074855042182002,-0.025909126503594004,-0.057799738838240966
103238,1.5372349934029208,-0.15688659189900767,-0.276494558199186
104018,1.3190958587717057,-0.007401503588462921,0.013536724441865822
104047,1.5706374764895228,-0.12122744512620365,-0.23863556483477977
104455,1.743075861993413,0.3932377104288378,0.6625586534350825
104698,1.6322884626823382,0.0728073233873443,0.10812120077777676
105860,1.6097499561454112,0.2023507295254685,0.21189121064323757
107761,1.5217467739310742,-0.11221772598507984,-0.1344962090886439
107817,2.0099018346307354,-0.22083967728635523,-0.30165166522506626
111839,1.214888336294967,-0.1371813338319372,-0.19509653012063866
113632,1.8039357067707067,-0.03896427252740531,-0.05419337426119397
113811,1.8827643174527313,-0.0077809280728571295,-0.07176686741935123
114151,1.4968847636399412,-0.12899956276283264,-0.17585926404540553
116975,1.4324003877165343,-0.12110326606895083,-0.15921910610389123
118983,1.5922878497346606,0.12167581377107184,0.20200284764225063
121134,1.7114847331758645,-0.07581878044218615,-0.08816874619474224
123476,1.2722485248692408,-0.0969241495085591,-0.15359538933397943
123643,1.7771251401273929,0.3777098544355062,0.4977077897449851
125351,2.057634480661064,0.1143410118363346,0.2132494548580408
127438,1.3327407547012065,-0.1399645414886992,-0.1918616699839535
128300,1.4042539133588077,-0.08117859302492691,-0.13177825930914655
130075,1.6108984928674313,0.028264956292457954,0.10994126242553737
130293,1.4051980301708744,-0.11698307504354943,-0.113650802342119
130510,1.5284900314495953,0.22372301324724342,0.3710601756558207
131918,1.2101871391039325,0.06099144053721961,0.0359304139253811
134912,1.5507455324546182,-0.15420765178072893,-0.1811269604482486
137878,1.3718618298789855,0.10054478916143084,0.1693676560222659
139571,1.7011314982530612,0.06600912011213,0.11371299855922978
141797,1.4122862706161279,-0.1972835458263167,-0.2866850801150589
142057,1.0448216285590834,-0.014331543337811059,-0.042848233424088056
142944,1.363042408031538,0.03876541585907378,0.025447606577628346
145129,1.3584655909108057,0.1325820175181751,0.22485457308176904
146882,1.6443456014245195,0.11393320003070317,0.13060968837841025
150552,1.7136011160410094,-0.06557864104335831,-0.09206678282730008
152550,1.7530819710649415,0.34742336564410614,0.30746717256546185
152764,2.030204663108073,0.1768009683017473,0.31487446152242216
153292,1.94603978491702,0.11393729910294992,0.10359684926671164
154026,1.4413483974561152,-0.12346517803863977,-0.13325668617969355
154954,1.2036386230734577,-0.0277131975733933,-0.018770784321827216
155715,1.466351290060337,0.13369954692441532,0.2707242354172923
155878,1.9070803006974324,0.3296346121225784,0.43445710259831616
159310,1.0871410784759044,0.004008596362404138,0.011691751646017767
159504,0.9822364769353027,-0.016613656950290157,-0.03716059481381495
162127,1.7708292510925976,0.16022128214829934,0.212511539881177
163241,1.3642637915724618,0.058010651203818986,0.10176691045627706
163559,1.4904733077723302,-0.03343185217822331,-0.01866572111260023
165730,1.7470929819879986,0.5485014921685318,0.8372500671212546
166241,1.157244339268672,0.03465514778665524,0.048384044458977815
166644,1.9605788740803656,0.2606151709156208,0.3515431544908001
169318,1.7005078636334672,0.08196663808435689,0.14591546210457462
170382,2.0819464783188897,-0.15338093761307658,-0.3002762105532648
172490,1.5712526436629903,-0.12658911469783396,-0.212148454291063
173678,1.9176942187993988,0.09771278882281997,0.1857629914634602
177257,1.7538481489114737,0.11908420013952448,0.12108735519423397
177693,1.4399711536627358,0.0554693712859764,0.13338368293029568
180872,1.488791727762682,-0.13162512809821902,-0.16963512055054264
182764,1.5253236049078036,0.034346483180830445,0.007784757894903738
183088,1.6758726747364274,0.0665112184984078,0.00031549643112893655
184356,1.4590786471986208,0.015130746878507129,0.01763870036599524
185472,1.3790902452799167,0.011222655732663123,0.027979705087326945
187405,2.180115624696711,0.22021436787288184,0.4007176564488444
187454,1.8199002457575904,-0.01792955238950844,0.009060493241326961
190510,2.3097796906822676,0.23322118268277148,0.4123882127834677
190811,1.3887546266052606,0.003655811210179216,0.02211723173322011
192189,1.3929883533628888,-0.07494399870572144,-0.05699511659651901
192403,1.3354289371966497,-0.11813626021925017,-0.14334292876845844
194039,1.4514838389522826,-0.09894148249826928,-0.10560403061977519
194898,1.3673170339033431,0.2167803526594967,0.28729941535768466
198705,1.4926596277752644,0.14942296255745768,0.24483147213928058
202437,1.6494911253613305,-0.27473107526069507,-0.35532590428083966
202501,1.7214469362547753,0.11416818936664197,0.017182094950672466
202505,2.6677324149816037,0.3237229861265809,0.38856629543943555
207769,1.2604470210301633,-0.027081291008021813,-0.041239575440716436
209990,1.460933157192017,-0.1823306742168791,-0.2508680737918627
210600,1.1772184033376691,0.06701698314662918,0.07198349257810421
212348,1.3905918630439196,-0.04957704979538469,-0.04842407206616772
212504,1.503022492428689,-0.09064662635278009,-0.17521774955538016
212887,1.5053416684286314,0.03493545212494409,0.12842208660284715
213081,1.441627592349192,-0.017526146162441858,-0.0773325388228916
213589,1.8166389706865214,-0.0318692363424693,-0.1326360440962655
215177,1.3476699909573893,-0.0812019090850995,-0.1645348530824573
216230,1.4847993326126938,-0.15401004216702296,-0.17100281168960785
217600,1.1338575142287255,-0.05846856901331465,-0.07458042425575417
217680,1.3630544274411602,-0.10752960433576364,-0.1859997302753702
220193,1.5694539804904866,-0.039346024204272245,-0.013533015994578346
220966,1.2923045890307852,0.07332305248870807,0.1340805112819652
223501,1.9640661907071642,0.055825644042377,0.14700912547411016
225503,1.3074705737281118,-0.061386176783920776,-0.12133308788273545
226274,1.7254702955410315,-0.011937514734119858,-0.1070928895116503
226944,1.9411864870576767,0.031148426039871557,0.04963499927321968
227002,1.5073640328805835,0.030521239487808716,0.05726437415739527
228511,2.1890902689318463,-0.08158490932819618,-0.17531258532693483
229290,2.087596387362177,0.008455921255636767,-0.04810016676770701
230508,1.279232509430917,-0.1312172319565137,-0.15915473823196113
231348,2.169447745023023,0.014580990278856731,0.03198413305643477
234533,1.2296740238480803,0.0033999297305111753,-0.0036448018822232697
236168,1.6406140647547498,-0.043960751840679935,-0.03397275234093988
238436,1.032266320046993,-0.04307113858491951,-0.05653033362750559
238665,1.1692262131147995,0.018060062818046063,0.025544871080115827
240012,1.367565868745331,-0.0043655845965449025,0.04236064074299817
241899,2.022404013997755,0.01685750580098766,0.10384141173182915
243453,1.551153869726649,-0.04420872469567083,-0.0326327866192635
252049,1.840188012215961,0.27102547446115244,0.3568199204021436
253588,1.8136596495593997,-0.043003012167853516,0.014269960161383821
253983,1.1818778451594865,0.10381324367917255,0.17542491161737161
255460,1.5469475309477725,0.14133118803954914,0.2300806959144599
256757,1.6595070248856778,0.09109664151797259,0.14280453058957288
260945,1.5007630071252873,-0.025928240962180604,-0.005973142541939813
262404,1.3616052615763259,-0.09238121778320907,-0.11631492131816912
266399,1.3354575852875132,0.0015240913631899833,0.02511304550351956
266582,1.9684650856794206,-0.04305884065898713,-0.13229873298623862
267598,1.522161710908213,-0.05908854750609427,-0.04977946379444953
268590,1.3216301685190621,-0.13690095650141676,-0.2487973559587715
270240,1.4990412826072375,0.0465197423478656,0.08350124928851277
270339,1.5667199738034738,-0.02026505374092724,0.0023272091206929524
274614,1.7087486226798891,-0.06913342708156778,-0.11728044625821132
278796,1.8222960209080479,0.3556837273191693,0.5526354715536002
281036,1.495376493723047,-0.09709156734749214,-0.11664536288522398
282915,1.3608684312082813,-0.04402702360406541,-0.05435793830871072
283722,1.4092218404732637,-0.15939215581891952,-0.1935156207690587
284556,1.639691199890058,-0.26796612569060585,-0.3917650801635275
286794,1.5507252005001586,-0.05269034274605988,-0.06545260335798098
287872,1.2600655587571448,-0.009523280512331755,0.012425714408717203
289433,1.3784994635777537,-0.038902508509368605,-0.005577694068626071
291399,1.8949933144313076,-0.08837282196161667,-0.14629915432337848
293213,1.5066771398641254,-0.022332745192292558,0.009257279893064574
294331,1.8451243031463191,0.05259543153818158,-0.03910896296654065
295184,1.2737021353343172,-0.07250609925524931,-0.056788419153394054
295308,1.8460663057654982,0.18656750741675454,0.20984933334782196
295377,2.0735407117085622,0.29699038144673295,0.46080593020411964
295888,1.3193699163832127,0.05320311944212763,0.07469710967467313
296233,1.5540799482995378,-0.041562807785779254,-0.014569931295832061
296477,1.578652452171243,-0.007593857892012057,-0.019473413805112028
297672,1.7239700598848091,0.10010589555667648,0.17972643483910988
298383,1.6468647808683141,0.006238167706229314,-0.09681748013673253
299646,1.2674720350440698,-0.10136820735069008,-0.15263339362802641
300101,1.4859260193090822,-0.12443460650477056,-0.19962656108886523
300622,1.8270138973840784,-0.02290452601746029,0.04978520378123075
305456,1.5812733406213164,-0.08564013227139133,-0.10380005886051036
306056,1.7933414171169055,-0.1610960108391264,-0.21025704836287207
306146,1.7906245727122825,-0.02794410320816465,-9.346980638924585e-05
307684,1.9229691574028562,-0.1921584861344745,-0.2229094392138442
311918,1.199558086149483,0.0345485504212546,0.05306015076778792
312631,1.5243486519858616,-0.021388402808097284,0.0054385383386761355
314149,1.3259705337362975,-0.10929593175707208,-0.14366201714833116
314320,1.741305209510142,0.292018942050986,0.47563742671689746
316272,1.6565189543434984,-0.10137703290381461,-0.13268219272685666
320608,1.879249756031641,0.42052286424244967,0.6974735441270123
322199,1.8644689614109093,0.09552716037570663,0.02494141360906954
323187,1.2018423779563185,-0.11667392853486391,-0.15002264987614655
327130,2.005015084297799,-0.0994190062486009,-0.15938821243277324
327916,1.3758036890885048,-0.09378195196768924,-0.12322917079994089
328301,2.209623691620774,-0.006462518604879008,-0.01992764024329796
332426,1.7387828972732091,-0.11134474773240832,-0.14813956650833937
332518,1.266421226258832,-0.07068385265355981,-0.09533257985333177
335756,1.657052039150127,0.1348309713510707,0.2644344516574024
341214,1.902483626126601,0.3703361616619385,0.604755968343345
341408,1.6316647680591718,-0.19998568128122374,-0.2546191420130255
341477,1.3382591638343178,-0.2276430725002101,-0.2882098083897724
345761,1.6089339073826368,-0.08113585575251903,-0.11175014877017131
346347,0.9523327659492237,-0.032907005749131524,-0.03097251734548745
349484,1.8510285431526226,-0.07158071401531285,-0.1091906605315629
349610,0.9938966860698714,-0.07928305112215539,-0.09991993981815783
353061,1.18154034319153,-0.160761584527791,-0.20642808135608515
353638,1.4870653625181145,-0.11733196838593973,-0.19140296104916676
354576,1.221272013358198,-0.16617438181793753,-0.22503953754791284
357627,1.4146546897598051,-0.19005801478854312,-0.2579739580414053
357727,1.2697894291695198,-0.17019791426838293,-0.21072691590365378
358112,1.762161645667851,-0.07730599652875036,-0.04618825835158513
358274,1.848691964878403,-0.22154178093647636,-0.33912784453599465
361242,1.309364140416485,0.0008757776613150803,0.026346423324923984
361629,1.1183993740849962,-0.02383483841810574,-0.01581826469887071
363969,1.3399746421959466,-0.20818011830121597,-0.2816362450193035
364301,1.3116578263139467,-0.1192311668709034,-0.15361773934978173
368505,1.8759492940066052,0.4264039109886453,0.7219730934208404
373446,1.4209681844743571,0.1542200369461002,0.22106518882396387
374262,1.711763131931072,0.09671559408257524,0.15519465472085114
376642,1.2255689183068867,-0.019911281295195593,-0.0010363997557847338
376799,1.546096977539322,-0.08446667277249365,-0.08073943191028743
377223,1.938806901082501,0.12024317028036946,0.11845851863946577
377723,1.7886549429144605,-0.22554984436809922,-0.339155568517332
379415,1.4020581429768764,0.0010727376527270849,0.0033634050389195203
380144,1.249077554020797,0.005457932493012629,0.053495802872166154
380891,1.6690670347232532,0.29877677596032504,0.46686839810477454
380962,1.7264546084453036,0.020984027036805353,0.0370041148182485
384833,2.095116917033373,-0.07748325534046563,-0.14486566069616802
387248,1.7435280300793021,0.07976358849977006,0.08070600636717717
389662,1.7338582280721508,0.2711330810429966,0.5160531759736462
391088,1.34126253075969,-0.034536404079494654,-0.04183337477112592
392003,1.5582230998822202,-0.1002770989664592,-0.12014685345968057
394288,1.2634329054955145,-0.08244463346332997,-0.13672308059706406
396632,1.5680932533334062,-0.16199215345371232,-0.23942310823605983
396904,1.7735542014059433,-0.06585927195393815,-0.15449194259886445
404395,1.465331074837388,0.07121596133333385,0.18166604698039301
407025,1.564724113341536,0.10895726056122057,0.24318301403345877
408782,1.5808746816404688,0.1679154627026216,0.20407556794356285
409795,1.5619769132664585,0.24046938560731346,0.24740349607975354
410398,1.6090237368934042,-0.11999537494292101,-0.16383715354170136
410573,1.7207325350698073,-0.05096427954150595,-0.1063055776326498
411521,1.9870741760354438,0.18235871373197154,0.2409429110878052
411784,1.7101611423802197,0.19032419577487136,0.3724946108413154
414713,1.8165012060322716,-0.1803832044392888,-0.3146026561091426
414911,2.0508165375474325,-0.16637259439598306,-0.22997574907934615
415348,1.5213584271107252,-0.0009668141052410206,-0.03522274660740665
415695,1.4010691685652226,0.11477017756205865,0.2401541604470141
415971,1.7721254266262048,0.07637223534067394,0.04909904938904641
419064,1.6136311289248384,0.14654226743800636,0.17937466543372338
420758,1.4557547453107256,-0.11382018277179995,-0.16242303603689678
422055,1.610998868843643,-0.07619507875990195,-0.08384177692691686
423600,2.034196429058364,0.09653527501027082,0.14813507966831763
424420,1.77488722281292,0.058482229829645904,0.13663499734253248
425645,1.7056671850121057,-0.09450594191843242,-0.11259796383714904
427860,1.2878684163969367,-0.167060301015739,-0.2378015473684456
428572,1.3257907859739924,-0.07384663090861299,-0.11259741776648413
429954,2.3838090656961857,-0.11790628425510619,-0.26562279687159185
430927,1.4306704124845613,0.04855071016467316,0.0789228229677823
434213,1.427796675390322,-0.0243354855798521,-0.08887617192553598
434350,1.6371413997956223,-0.10712056680859017,-0.12073079220238303
434933,1.1703798919620154,0.09342195319196867,0.10136811202249918
435374,1.5013325513162126,-0.02569634398625431,-0.004722483594681748
435676,1.6531811216565264,0.09146622896841983,0.13898505364043512
436391,1.9212080217226786,-0.0465953783269597,-0.09623702927701938
437308,1.4531816771095385,-0.10334345920320276,-0.14493531539522442
437750,1.659148022105372,-0.03739524653108517,-0.08295849392930243
438030,1.9434432382738809,0.09141141146307863,0.07914560936884962
439990,2.282072499424909,0.6363338578460369,0.9037044099758105
442966,1.5420652991158093,-0.10940046950056592,-0.0992321988159941
447794,1.2253846091967997,-0.1190781407680439,-0.12465727092994872
448611,1.7347430434378626,0.2453602888099129,0.40087917982067345
449068,1.6846808986504636,-0.14370325433678088,-0.25270485435682866
452966,1.208242985730499,0.018060141872492608,0.06708523872051764
455808,1.8156951138344535,-0.011087030567144218,0.04378651809201339
456954,1.7386214157996682,-0.11310971358092914,-0.1473023328819043
458333,1.250720676745071,-0.17870546005785504,-0.25222833619977614
460927,1.8179235100032483,0.35592555197367304,0.583871684001938
467320,1.5319677928239235,0.025465024776114564,0.09848182050818277
468305,1.177040761177825,-0.09573171054855423,-0.11727325544174994
469942,1.5554750478506914,-0.1855464788307768,-0.2338758791026727
473697,1.145304156269908,-0.011924241076060493,0.019840051661370595
474225,1.8866979906234498,-0.09373398521187193,-0.12622636188282854
475062,1.3629941396259067,-0.12183788029614706,-0.15163266316422508
475100,1.1166220400473539,-0.053635281837126625,-0.07143660703726806
478243,1.4744418861399886,-0.12016890814977588,-0.1107840043129924
478548,1.6202318759281034,-0.029430085295821584,-0.04527028588725224
480583,1.4119065245127136,-0.1477218804691931,-0.1804298618686293
480892,1.6136973012204303,-0.10581602730100736,-0.1992577243128384
482727,1.5951866248473192,-0.012309752027708454,-0.1127420914535242
483046,1.8869326658290968,-0.13044428884851555,-0.19902494610220178
484904,1.377544958483823,-0.13629032327583612,-0.1611364191867739
485815,1.9884500734570996,0.1692028159834269,0.15834077942554314
489212,1.404952014047833,-0.03602884574795118,-0.10651218075176327
491473,1.4163279529183734,-0.10671117423006748,-0.18911951875690414
493650,1.5612015554076164,0.030011324926332295,-0.017106624265521342
494463,1.2702737778974647,-0.05434835339972821,-0.05633520675079429
496793,1.4131697128256326,0.01771534749090664,-0.07590957743369908
504818,1.063024601472594,0.00966740784407305,0.00837124836500669
506096,1.9462808729222139,0.05434970497487179,-0.052287028060481466
506173,1.502194636758186,-0.04398259598538057,-0.12175496975196887
508393,2.2483866642527306,0.34941293881467717,0.36374169021589386
510433,1.828878030036122,-0.09329197145298473,-0.05979375167551004
510670,1.7963018774850503,-0.035399258027059455,-0.027842929599450672
510700,1.821181987617549,0.25308777199098254,0.35547532320398423
512105,1.6700204027645325,0.03383033889439169,0.11443529505655459
514949,1.7078740124767435,0.326274356750899,0.5284941338427271
515426,1.7350068941115362,-0.023855966731438638,-0.03150549142371717
518599,1.3141827416191119,-0.08102081806418382,-0.13290311233376761
518855,2.047968597727095,-0.1712750572385704,-0.2884589527602821
522059,2.261423156906376,-0.10806136761864815,-0.14017955009660543
522076,1.3032412514509941,-0.1400875588986057,-0.18467662231747473
523440,1.7533767845496295,-0.06542921928589607,-0.15938806904697067
525936,1.7456697299624193,-0.1775649505810304,-0.2117483312621362
