Year;GFDL-ESM2M;NorESM2;ACCESS;UKESM1;CanESM5;CESM;MPIESM;CNRM-ESM2-1;MIROC-ES2L
0.0;288.3001272120092;284.67;286.89;289.677703857;287.14;284.7;278.8405;284.317;288.50575
1.0;291.15357567007624;287.16;289.76;292.574493408;290.01;287.547;278.587;287.1602;291.96501
2.0;293.96945148170613;290.03;292.66;295.500213623;292.91;290.42247;280.653;290.0318;295.11725
3.0;296.57409304740196;292.93;295.58;298.455200195;295.84;293.3266947;283.2993;292.9321;298.07417000000004
4.0;299.0377220892896;295.86;298.54;301.439788818;298.79;296.259961647;285.1967;295.8614;301.41913
5.0;301.22094927993544;298.82;301.53;304.454162598;301.78;299.22256126347;287.2518;298.82;304.55423
6.0;303.8235642621932;301.81;304.54;307.49874877900004;304.8;302.2147868761047;290.536;301.8082;307.87331
7.0;307.483678326419;304.83;307.59;310.573730469;307.85;305.2369347448658;294.4482;304.8263;310.98942
8.0;309.89838351036286;307.88;310.66;313.679443359;310.92;308.2893040923144;298.8899;307.8746;313.70731
9.0;313.57433364650063;310.95;313.77;316.816253662;314.03;311.37219713323753;303.1018;310.9533;316.60137000000003
10.0;316.09608056597824;314.06;316.91;319.984405518;317.17;314.4859191045699;306.3772;314.0628;320.25724
11.0;318.14812108466066;317.2;320.08;323.184234619;320.34;317.6307782956156;308.9521;317.2035;323.68279
12.0;321.8062731520312;320.38;323.28;326.416107178;323.55;320.8070860785718;311.7173;320.3755;326.78623
13.0;325.67939448348983;323.58;326.51;329.680267334;326.78;324.0151569393575;315.0319;323.5793;329.53189
14.0;328.6120784787895;326.82;329.77;332.977050781;330.05;327.2553085087511;318.7698;326.8151;332.92913
15.0;331.18667795437653;330.08;333.07;336.30682373;333.35;330.5278615938386;321.5521;330.0832;336.85785
16.0;334.3488950097347;333.39;336.40;339.669891357;336.68;333.833140209777;324.0206;333.384;339.71404
17.0;337.59104234664;336.72;339.77;343.066589355;340.04;337.1714716118748;327.246;336.7179;342.74857000000003
18.0;340.80276453918583;340.09;343.16;346.4972229;343.45;340.5431863279935;330.6422;340.0851;345.60326000000003
19.0;343.4416200895475;343.49;346.60;349.96221923800005;346.88;343.94861819127345;334.0748;343.4859;348.22428
20.0;346.73861307666124;346.92;350.06;353.46182251;350.35;347.38810437318614;337.3683;346.9208;351.28656
21.0;350.3516766925228;350.39;353.56;356.996490479;353.85;350.86198541691806;339.9667;350.39;355.51152
22.0;354.3128490715913;353.9;357.10;360.566436768;357.39;354.37060527108724;343.2227;353.8939;359.83926
23.0;358.0251185555165;357.43;360.67;364.172088623;360.96;357.91431132379813;346.9743;357.4328;363.36386
24.0;361.76601065998926;361.01;364.28;367.813842773;364.57;361.49345443703606;350.1796;361.0071;366.20973
25.0;364.4521156810735;364.62;367.92;371.491973877;368.22;365.1083889814064;353.1228;364.6172;369.38681
26.0;367.18211286662984;368.26;371.60;375.20690918;371.9;368.75947287122057;355.5802;368.2634;373.22787
27.0;372.39551279464206;371.95;375.31;378.958953857;375.61;372.4470675999328;359.1117;371.946;377.13505
28.0;376.3790017516952;375.67;379.07;382.748535156;379.37;376.1715382759321;363.5501;375.6655;380.71178
29.0;379.40400102405414;379.42;382.86;386.576049805;383.17;379.93325365869134;367.8003;379.4221;383.64976
30.0;382.7682599801673;383.22;386.69;390.441772461;387.0;383.7325861952783;372.1399;383.2164;386.92226
31.0;387.1252200540717;387.05;390.55;394.346221924;390.87;387.56991205723114;376.2901;387.0485;390.46412
32.0;391.40823215871353;390.92;394.46;398.289672852;394.78;391.44561117780336;379.8712;390.919;395.03379
33.0;392.9958550406187;394.83;398.40;402.272583008;398.73;395.3600672895814;382.934;394.8282;399.22889
34.0;396.59262657140016;398.78;402.39;406.295257568;402.72;399.31366796247727;386.4424;398.7765;403.06083
35.0;403.0714852875736;402.77;406.41;410.358215332;406.75;403.306804642102;390.784;402.7642;406.98053
36.0;409.1411862484092;406.79;410.48;414.461761475;410.81;407.33987268852314;395.4453;406.7919;411.3103
37.0;410.9311785089644;410.86;414.58;418.606414795;414.91;411.4132714154084;399.7926;410.8598;415.72917
38.0;413.2318069635292;414.97;418.73;422.792510986;419.06;415.5274041295624;403.0945;414.9684;419.68973
39.0;419.64885010065075;419.12;422.91;427.020446777;423.26;419.682678170858;406.5851;419.1181;423.85237
40.0;424.0328127881895;423.31;427.14;431.290618896;427.49;423.87950495256655;411.0187;423.3093;428.4516
41.0;427.9351121050702;427.54;431.41;435.603485107;431.76;428.1183000020922;414.8543;427.5424;432.99503
42.0;430.26593175703937;431.82;435.73;439.959533691;436.08;432.3994830021132;418.068;431.8178;436.75392
43.0;435.81484207781426;436.14;440.09;444.359161377;440.44;436.72347783213434;422.8668;436.136;439.93184
44.0;440.8448141974028;440.5;444.49;448.802764893;444.84;441.0907126104557;427.8428;440.4973;443.69974
45.0;444.96959053005463;444.9;448.93;453.290771484;449.29;445.50161973656026;433.1382;444.9023;448.94214000000005
46.0;448.25385948196566;449.35;453.42;457.823669434;453.78;449.9566359339258;438.4537;449.3513;454.61138
47.0;452.4936483318165;453.85;457.95;462.401916504;458.32;454.4562022932651;442.6786;453.8448;459.0482
48.0;458.7518304031444;458.39;462.53;467.025909424;462.91;459.0007643161978;446.7999;458.3833;462.7664
49.0;463.80286037998457;462.97;467.16;471.696228027;467.54;463.59077195935976;450.9479;462.9671;466.62608
50.0;468.25425751979327;467.6;471.83;476.41317749;472.22;468.22667967895336;455.2749;467.5968;470.94183
51.0;472.7562302595949;472.27;476.55;481.177307129;476.94;472.9089464757429;458.2195;472.2728;476.45726
52.0;478.4382275331204;477.0;481.32;485.989105225;481.7;477.63803594050034;462.3848;476.9955;481.73427
53.0;481.22271179374656;481.77;486.13;490.848907471;486.51;482.41441629990527;467.2647;481.7654;486.06253
54.0;484.2130045489447;486.59;490.99;495.757446289;491.39;487.2385604629044;472.2905;486.5831;490.37408
55.0;491.2514792921098;491.45;495.90;500.715026855;496.3;492.1109460675335;478.0028;491.4489;495.17108
56.0;496.97386949284856;496.37;500.86;505.722137451;501.26;497.0320555282088;483.3649;496.3634;501.19569
57.0;500.57109097682246;501.33;505.87;510.7794494630001;506.28;502.0023760834909;487.9434;501.327;506.67792
58.0;506.22542988355855;506.34;510.93;515.887207031;511.34;507.0223998443258;492.3101;506.3403;510.91109000000006
59.0;511.9158887967776;511.41;516.03;521.0460205080001;516.45;512.0926238427691;496.9927;511.4037;515.25636
60.0;517.5401904773324;516.52;521.20;526.256530762;521.62;517.2135500811968;501.9302;516.5178;520.77165
61.0;518.7407167858049;521.69;526.41;531.519104004;508.22;522.3856855820087;506.9697;521.6829;527.1885599999999
62.0;511.93194821068687;526.9;531.67;536.834289551;503.33;527.6095424378288;511.7744;526.8998;532.75798
63.0;507.8367404129408;532.17;536.99;542.202636719;499.48;532.8856378622071;516.6223;532.1688;521.20295
64.0;506.107062611678;537.49;542.36;547.624633789;494.84;538.2144942408293;522.1885;537.4904;517.17256
65.0;501.3873704951512;542.87;547.78;553.100891113;491.05;543.5966391832375;523.1381;542.8654;514.46112
66.0;498.4456136797186;536.01;553.26;542.972595215;488.14;549.0326055750699;518.9392;548.294;511.6965
67.0;497.38152612842725;531.86;552.44;539.651184082;486.07;549.15004759;515.4078;553.7769;508.82453
68.0;494.03695970110306;528.02;549.64;536.630981445;483.83;545.05588581;512.3245;559.3147;505.26828
69.0;490.4823608964376;524.24;547.44;534.439086914;481.33;541.38133647;509.1108;564.9079;501.97819
70.0;488.4326600865143;521.17;546.62;532.0886230469999;478.57;537.73531407;506.4395;570.8614;498.7935
71.0;486.5564954505393;517.78;545.03;529.609802246;476.4;534.67668614;503.6461;568.2436;496.28121
72.0;485.2208536922014;514.58;542.69;527.5124511719999;475.09;532.13419347;500.7548;563.9469;495.1782
73.0;484.2901934888724;511.71;541.33;524.933105469;471.91;528.98042305;498.2976;560.4341;493.5037
74.0;478.826594229609;509.08;540.32;523.227050781;470.03;526.52547401;496.2418;558.5482;490.77558
75.0;474.9231809137824;506.73;538.89;521.950805664;469.01;523.9336672;493.7188;554.8697;488.93011
76.0;472.7966402504237;504.68;537.97;520.848815918;466.7;521.31035694;491.5421;550.6026;488.29355
77.0;470.063628705397;502.24;535.89;519.678405762;463.92;519.12192858;489.5812;546.5253;488.00249
78.0;468.7202489163013;499.6;533.43;518.6433105469999;462.69;516.63615799;487.4724;546.0646;486.50046
79.0;468.03260785017216;497.06;531.63;518.100585938;461.71;514.36350769;486.1191;542.8594;484.13794
80.0;468.0283591693446;494.7;530.32;516.71295166;460.59;512.07099433;484.5421;539.62;483.08153
81.0;464.5755750522631;492.79;527.92;514.6120605469999;459.15;509.65004246;482.626;538.3064;483.46394
82.0;462.28257985466655;490.79;526.66;512.7022705080001;457.96;507.90926145;480.3876;533.6301;482.92792
83.0;462.5590640911195;488.6;525.11;511.53442382800006;456.14;505.82636892;477.7192;531.1744;481.06805
84.0;462.87686524160006;486.67;523.69;510.324493408;455.29;504.13487022;476.1302;527.947;479.15928
85.0;458.33468655672897;484.65;523.76;508.899078369;454.73;502.24436368;474.6182;527.392;477.80377
86.0;455.0789254845107;482.54;522.46;508.346069336;454.26;500.25550119;472.9393;523.6545;476.96973
87.0;454.4746317288341;480.78;521.66;506.970489502;452.41;498.01609858;472.0771;522.1064;476.59674
88.0;457.4232915741685;479.48;520.52;506.021911621;450.1;496.36040322;470.5352;516.7503;476.07056
89.0;456.0648840022822;477.86;519.06;506.120147705;449.63;495.3172859;469.1722;515.7732;476.01007
90.0;455.73914930709213;476.07;518.47;505.381256104;447.98;493.90937118;467.7439;513.9958;475.9484
91.0;454.84840074133086;474.58;517.06;504.337036133;447.22;492.12636827;466.5524;512.055;474.4785
92.0;452.37658682521686;473.03;515.13;503.78805542;445.95;490.5533563;465.74;509.5352;472.84896
93.0;451.4972091658832;471.48;514.96;503.870727539;445.24;488.93027142;464.4395;509.1135;471.91078
94.0;450.8815262441154;469.77;513.55;502.425750732;444.41;487.23335218;462.9818;506.9669;471.75467
95.0;451.7543592094763;468.04;512.29;501.327087402;444.3;485.97946629;461.8942;506.5293;470.599
96.0;449.04524812870335;467.08;511.95;501.515716553;443.37;484.48778973;461.0208;501.7699;468.95938
97.0;445.830043603041;466.01;511.81;500.76751709;442.54;483.11852064;459.5526;501.3655;468.17136
98.0;445.2919868962866;464.42;511.68;499.75088501;442.61;481.88670879;457.3987;498.5334;468.59598
99.0;445.28470376238533;462.94;510.82;499.239044189;442.4;480.20833039;456.3675;497.7881;468.8911
100.0;443.7703955822867;461.83;510.44;497.954772949;441.01;478.94129468;456.5643;496.053;467.82193
101.0;444.0206660385155;460.71;510.76;496.781341553;440.18;477.85364994;456.3557;493.2964;466.24423
102.0;443.0409209892052;459.2;510.26;496.033294678;439.87;476.46319822;455.0385;496.9174;464.93481
103.0;441.98124254862336;458.24;509.57;496.088134766;439.11;475.39875386;454.9449;493.0026;464.22921
104.0;442.38670698800826;457.45;509.39;495.785247803;438.69;474.4949518;454.3047;492.9569;464.18467
105.0;442.9875459196684;456.35;507.61;494.700286865;438.48;473.05339467;453.2533;490.7308;464.30499
106.0;441.4170101757021;455.29;505.86;493.971618652;437.35;472.36883843;451.8076;490.7773;463.43113
107.0;437.53543765003445;454.58;505.77;494.12310791;436.58;471.42562273;450.5799;489.7506;462.92225
108.0;434.64096538939407;453.45;504.20;493.45123291;436.54;470.54793832;450.0369;488.751;462.7197
109.0;435.12876129594366;452.23;503.13;492.169464111;436.02;470.08614242;449.6453;489.1491;462.00423
110.0;434.4179455273824;451.29;501.96;491.393890381;435.66;468.96743648;449.3267;487.7484;461.09953
111.0;435.6899994827348;450.42;501.29;491.288726807;434.48;468.04247386;448.6827;485.7936;460.42001
112.0;435.15359882380153;449.15;501.09;490.923522949;433.67;467.1322601;447.6737;484.1678;460.57784
113.0;438.1574990948637;448.35;501.50;489.732940674;433.29;465.63091596;447.1551;486.4926;460.48988
114.0;436.122614447002;447.57;500.97;489.67590332;432.76;465.17194653;445.6662;484.829;459.39431
115.0;433.61169199956817;446.97;500.50;489.45022583;432.95;464.5487166;444.3359;483.3059;458.58965
116.0;433.061520205428;446.32;500.35;488.987701416;433.49;463.70256025;443.8161;480.9445;458.2824700000001
117.0;433.56887763366115;445.33;499.24;488.50994873;433.24;463.22184431;442.56;480.5686;458.85696
118.0;431.32990161722455;444.6;498.47;488.44458007800006;432.68;462.68125336;441.6032;483.2643;458.84238
119.0;430.1638326492824;443.75;496.87;488.707977295;431.72;461.81161473;441.6176;479.578;457.60404000000005
120.0;432.2848831341691;442.88;495.99;488.202606201;431.29;460.9044793;441.6287;479.5614;456.2725
121.0;429.7778848399192;442.27;495.24;487.172058105;430.82;460.35137754;441.0986;481.8037;456.24328
122.0;429.8941903645555;441.65;494.30;486.290618896;429.62;459.76106621;441.0017;479.5688;456.76878
123.0;431.75656185804377;441.3;493.92;485.739349365;428.96;458.75286239;440.3032;476.4192;456.18556
124.0;431.0732817417649;440.55;493.74;485.480407715;428.89;457.88313065;438.7055;477.0251;454.97657
125.0;429.64809060683615;439.63;492.69;484.751617432;428.38;457.78359985;437.5461;476.4674;454.28742
126.0;430.64471555886513;438.71;492.83;484.623077393;427.67;457.08567527;436.7554;473.8379;454.37942
127.0;427.38969220894654;438.07;493.79;483.563293457;427.7;456.56895419;435.8588;474.4656;454.02906
128.0;424.546680623691;437.56;494.80;482.967132568;427.98;456.04944646;436.1613;476.2511;453.04281
129.0;425.95781572482053;437.21;494.41;483.743988037;427.29;455.77795386;436.0705;474.5336;451.69691
130.0;428.9078875444831;436.76;494.16;483.159576416;427.2;455.29707974;435.9468;475.7755;450.66162
131.0;425.98750394424553;435.89;493.32;482.756958008;425.93;454.83839663;434.2502;474.5366;450.68024
132.0;424.396209594194;435.53;491.77;482.035675049;425.48;454.5334293;433.0717;474.5601;450.56838
133.0;424.879537066062;434.89;491.19;482.034057617;424.76;454.27774814;433.1243;472.9452;450.40604
134.0;426.7577346643969;434.21;490.22;481.2669067380001;423.82;453.24922933;432.4326;472.5639;450.09595
135.0;425.14718442275006;433.89;488.46;479.909515381;424.71;452.65708329;431.8134;470.9397;449.29262
136.0;424.53344715185057;433.62;486.93;479.9737854;425.38;452.13204193;432.1036;470.9857;449.48765
137.0;424.6540848414528;433.2;486.11;479.64947509765625;425.76;451.8850457;432.6507;472.8183;449.81983
138.0;425.4933074276181;432.68;485.43;478.9727783203125;425.4;451.35983135;432.3214;472.9439;449.06467
139.0;423.17238738377614;432.47;485.99;478.97747802734375;424.47;450.85538674;430.6277;471.5315;448.32893
140.0;418.7421578984096;431.98;485.82;478.8150939941406;423.18;450.39971862;429.0425;471.3066;447.18623
141.0;419.6496839851957;431.4;485.00;478.2039794921875;422.24;450.20457671;428.1837;470.6785;446.71246
142.0;422.66092328546085;431.09;484.61;477.22698974609375;422.08;449.56225695;428.1726;471.0316;447.19268
143.0;421.06660397098176;430.74;484.56;477.4527893066406;422.65;449.22336046;428.0546;469.1884;446.4215400000001
144.0;419.4604313441183;429.84;484.90;477.6356506347656;424.07;448.59047516;427.1879;470.0221;445.00911
145.0;420.35338271103086;429.19;483.39;477.5386047363281;424.77;448.28101378;427.401;470.6473;443.73411
146.0;421.6900930982338;429.01;482.55;477.6143493652344;423.96;447.98165668;427.8157;468.3927;443.98487
147.0;422.8416242643119;428.73;482.70;477.60064697265625;422.97;447.50099853;427.3119;469.9994;444.22998
148.0;418.98191023031126;428.02;483.10;477.4813537597656;422.31;447.29267003;426.2099;470.5447;443.16311
